"","date","day_of_week","emotion"
"159",2022-06-08,"Wednesday","unhappy"
"160",2022-06-09,"Thursday","unhappy"
"161",2022-06-10,"Friday","happy"
"162",2022-06-11,"Saturday","neutral"
"163",2022-06-12,"Sunday","neutral"
"164",2022-06-13,"Monday","neutral"
"165",2022-06-14,"Tuesday","neutral"
"166",2022-06-15,"Wednesday","neutral"
"167",2022-06-16,"Thursday","neutral"
"168",2022-06-17,"Friday","unhappy"
"169",2022-06-18,"Saturday","neutral"
"170",2022-06-19,"Sunday","neutral"
"171",2022-06-20,"Monday","neutral"
"172",2022-06-21,"Tuesday","neutral"
"173",2022-06-22,"Wednesday","neutral"
"174",2022-06-23,"Thursday","unhappy"
"175",2022-06-24,"Friday","neutral"
"176",2022-06-25,"Saturday","neutral"
"177",2022-06-26,"Sunday","neutral"
"178",2022-06-27,"Monday","neutral"
"179",2022-06-28,"Tuesday","neutral"
"180",2022-06-29,"Wednesday","happy"
"181",2022-06-30,"Thursday","neutral"
"182",2022-07-01,"Friday","neutral"
"183",2022-07-02,"Saturday","neutral"
"184",2022-07-03,"Sunday","neutral"
"185",2022-07-04,"Monday","neutral"
"186",2022-07-05,"Tuesday","neutral"
"187",2022-07-06,"Wednesday","neutral"
"188",2022-07-07,"Thursday","neutral"
"189",2022-07-08,"Friday","neutral"
"190",2022-07-09,"Saturday","neutral"
"191",2022-07-10,"Sunday","neutral"
"192",2022-07-11,"Monday","neutral"
"193",2022-07-12,"Tuesday","neutral"
"194",2022-07-13,"Wednesday","neutral"
"195",2022-07-14,"Thursday","neutral"
"196",2022-07-15,"Friday","neutral"
"197",2022-07-16,"Saturday","neutral"
"198",2022-07-17,"Sunday","neutral"
